n,tree_type,height,build_duration_seconds,destroy_duration_seconds
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000000
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000000
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000000,0.000000
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000000,0.000001
100,BST,99,0.000016,0.000002
100,OST,99,0.000017,0.000001
100,BST,99,0.000016,0.000001
100,OST,99,0.000018,0.000002
100,BST,99,0.000017,0.000001
100,OST,99,0.000035,0.000002
100,BST,99,0.000016,0.000001
100,OST,99,0.000018,0.000002
100,BST,99,0.000016,0.000001
100,OST,99,0.000018,0.000002
100,BST,99,0.000016,0.000001
100,OST,99,0.000018,0.000002
100,BST,99,0.000016,0.000001
100,OST,99,0.000018,0.000001
100,BST,99,0.000016,0.000002
100,OST,99,0.000017,0.000002
100,BST,99,0.000017,0.000017
100,OST,99,0.000019,0.000002
100,BST,99,0.000016,0.000002
100,OST,99,0.000017,0.000002
200,BST,199,0.000058,0.000002
200,OST,199,0.000066,0.000002
200,BST,199,0.000059,0.000002
200,OST,199,0.000066,0.000002
200,BST,199,0.000058,0.000002
200,OST,199,0.000067,0.000002
200,BST,199,0.000058,0.000002
200,OST,199,0.000066,0.000002
200,BST,199,0.000071,0.000002
200,OST,199,0.000066,0.000002
200,BST,199,0.000059,0.000003
200,OST,199,0.000066,0.000003
200,BST,199,0.000059,0.000003
200,OST,199,0.000066,0.000002
200,BST,199,0.000058,0.000002
200,OST,199,0.000066,0.000002
200,BST,199,0.000099,0.000003
200,OST,199,0.000081,0.000003
200,BST,199,0.000058,0.000002
200,OST,199,0.000078,0.000002
300,BST,299,0.000128,0.000003
300,OST,299,0.000146,0.000003
300,BST,299,0.000128,0.000003
300,OST,299,0.000150,0.000003
300,BST,299,0.000128,0.000003
300,OST,299,0.000160,0.000003
300,BST,299,0.000129,0.000003
300,OST,299,0.000146,0.000003
300,BST,299,0.000173,0.000026
300,OST,299,0.000289,0.000002
300,BST,299,0.000128,0.000003
300,OST,299,0.000148,0.000003
300,BST,299,0.000164,0.000003
300,OST,299,0.000160,0.000003
300,BST,299,0.000143,0.000003
300,OST,299,0.000147,0.000003
300,BST,299,0.000127,0.000003
300,OST,299,0.000192,0.000003
300,BST,299,0.000128,0.000003
300,OST,299,0.000147,0.000003
400,BST,399,0.000322,0.000004
400,OST,399,0.000313,0.000004
400,BST,399,0.000226,0.000004
400,OST,399,0.000290,0.000004
400,BST,399,0.000225,0.000004
400,OST,399,0.000314,0.000004
400,BST,399,0.000254,0.000004
400,OST,399,0.000287,0.000004
400,BST,399,0.000225,0.000004
400,OST,399,0.000339,0.000004
400,BST,399,0.000225,0.000004
400,OST,399,0.000304,0.000004
400,BST,399,0.000227,0.000003
400,OST,399,0.000350,0.000004
400,BST,399,0.000236,0.000004
400,OST,399,0.000289,0.000003
400,BST,399,0.000236,0.000004
400,OST,399,0.000293,0.000004
400,BST,399,0.000236,0.000003
400,OST,399,0.000269,0.000004
500,BST,499,0.000356,0.000005
500,OST,499,0.000533,0.000005
500,BST,499,0.000355,0.000005
500,OST,499,0.000558,0.000004
500,BST,499,0.000352,0.000005
500,OST,499,0.000556,0.000030
500,BST,499,0.000364,0.000005
500,OST,499,0.000439,0.000005
500,BST,499,0.000354,0.000004
500,OST,499,0.000530,0.000004
500,BST,499,0.000354,0.000005
500,OST,499,0.000536,0.000005
500,BST,499,0.000352,0.000004
500,OST,499,0.000526,0.000005
500,BST,499,0.000421,0.000005
500,OST,499,0.000528,0.000005
500,BST,499,0.000364,0.000005
500,OST,499,0.000521,0.000005
500,BST,499,0.000356,0.000005
500,OST,499,0.000533,0.000004
600,BST,599,0.000577,0.000005
600,OST,599,0.000701,0.000005
600,BST,599,0.000638,0.000005
600,OST,599,0.000660,0.000005
600,BST,599,0.000585,0.000005
600,OST,599,0.000814,0.000005
600,BST,599,0.000729,0.000005
600,OST,599,0.000696,0.000005
600,BST,599,0.000621,0.000006
600,OST,599,0.000980,0.000006
600,BST,599,0.000575,0.000006
600,OST,599,0.000824,0.000005
600,BST,599,0.000582,0.000006
600,OST,599,0.000818,0.000005
600,BST,599,0.000584,0.000006
600,OST,599,0.000920,0.000005
600,BST,599,0.000728,0.000005
600,OST,599,0.000662,0.000006
600,BST,599,0.000603,0.000006
600,OST,599,0.000816,0.000006
700,BST,699,0.000896,0.000006
700,OST,699,0.001187,0.000006
700,BST,699,0.000899,0.000007
700,OST,699,0.001162,0.000006
700,BST,699,0.000895,0.000010
700,OST,699,0.001160,0.000011
700,BST,699,0.000967,0.000006
700,OST,699,0.000912,0.000006
700,BST,699,0.000899,0.000006
700,OST,699,0.001158,0.000006
700,BST,699,0.000898,0.000006
700,OST,699,0.001153,0.000006
700,BST,699,0.000901,0.000006
700,OST,699,0.000918,0.000006
700,BST,699,0.000839,0.000005
700,OST,699,0.000932,0.000006
700,BST,699,0.000900,0.000007
700,OST,699,0.001166,0.000006
700,BST,699,0.000813,0.000006
700,OST,699,0.000955,0.000006
800,BST,799,0.001258,0.000007
800,OST,799,0.001550,0.000007
800,BST,799,0.001453,0.000006
800,OST,799,0.001387,0.000007
800,BST,799,0.001265,0.000007
800,OST,799,0.001650,0.000007
800,BST,799,0.001264,0.000007
800,OST,799,0.001502,0.000006
800,BST,799,0.001297,0.000008
800,OST,799,0.001571,0.000007
800,BST,799,0.001268,0.000007
800,OST,799,0.001537,0.000007
800,BST,799,0.001265,0.000008
800,OST,799,0.001547,0.000007
800,BST,799,0.001264,0.000007
800,OST,799,0.001547,0.000007
800,BST,799,0.001142,0.000006
800,OST,799,0.001202,0.000015
800,BST,799,0.001265,0.000008
800,OST,799,0.001548,0.000007
900,BST,899,0.001962,0.000008
900,OST,899,0.002063,0.000008
900,BST,899,0.001684,0.000007
900,OST,899,0.001588,0.000007
900,BST,899,0.001808,0.000008
900,OST,899,0.001987,0.000008
900,BST,899,0.001686,0.000008
900,OST,899,0.002054,0.000008
900,BST,899,0.001676,0.000007
900,OST,899,0.001594,0.000007
900,BST,899,0.001681,0.000008
900,OST,899,0.002047,0.000017
900,BST,899,0.001686,0.000008
900,OST,899,0.002047,0.000007
900,BST,899,0.001668,0.000007
900,OST,899,0.001788,0.000007
900,BST,899,0.001675,0.000017
900,OST,899,0.001998,0.000008
900,BST,899,0.001732,0.000007
900,OST,899,0.001838,0.000007
1000,BST,999,0.002141,0.000008
1000,OST,999,0.002074,0.000008
1000,BST,999,0.002253,0.000009
1000,OST,999,0.002571,0.000008
1000,BST,999,0.002190,0.000008
1000,OST,999,0.002723,0.000008
1000,BST,999,0.002336,0.000010
1000,OST,999,0.002727,0.000010
1000,BST,999,0.002201,0.000009
1000,OST,999,0.002600,0.000008
1000,BST,999,0.001744,0.000008
1000,OST,999,0.002042,0.000008
1000,BST,999,0.002161,0.000008
1000,OST,999,0.002284,0.000008
1000,BST,999,0.002058,0.000008
1000,OST,999,0.001956,0.000008
1000,BST,999,0.002161,0.000009
1000,OST,999,0.002539,0.000009
1000,BST,999,0.001724,0.000008
1000,OST,999,0.001910,0.000008
1100,BST,1099,0.002628,0.000009
1100,OST,1099,0.002540,0.000009
1100,BST,1099,0.002681,0.000025
1100,OST,1099,0.003165,0.000010
1100,BST,1099,0.002697,0.000009
1100,OST,1099,0.002371,0.000009
1100,BST,1099,0.002831,0.000009
1100,OST,1099,0.003226,0.000010
1100,BST,1099,0.002668,0.000009
1100,OST,1099,0.002911,0.000009
1100,BST,1099,0.002690,0.000010
1100,OST,1099,0.003045,0.000010
1100,BST,1099,0.002684,0.000009
1100,OST,1099,0.003030,0.000008
1100,BST,1099,0.002431,0.000009
1100,OST,1099,0.002310,0.000008
1100,BST,1099,0.002685,0.000009
1100,OST,1099,0.003403,0.000010
1100,BST,1099,0.002690,0.000010
1100,OST,1099,0.003276,0.000009
1200,BST,1199,0.003231,0.000010
1200,OST,1199,0.003857,0.000010
1200,BST,1199,0.002533,0.000009
1200,OST,1199,0.002787,0.000010
1200,BST,1199,0.002771,0.000010
1200,OST,1199,0.002841,0.000010
1200,BST,1199,0.003235,0.000010
1200,OST,1199,0.003815,0.000010
1200,BST,1199,0.003233,0.000010
1200,OST,1199,0.003538,0.000010
1200,BST,1199,0.003245,0.000010
1200,OST,1199,0.003813,0.000011
1200,BST,1199,0.003231,0.000010
1200,OST,1199,0.002781,0.000009
1200,BST,1199,0.003358,0.000010
1200,OST,1199,0.003677,0.000010
1200,BST,1199,0.003090,0.000010
1200,OST,1199,0.002833,0.000009
1200,BST,1199,0.003192,0.000009
1200,OST,1199,0.002856,0.000009
1300,BST,1299,0.003454,0.000010
1300,OST,1299,0.003598,0.000010
1300,BST,1299,0.003876,0.000010
1300,OST,1299,0.004300,0.000010
1300,BST,1299,0.003824,0.000010
1300,OST,1299,0.003877,0.000010
1300,BST,1299,0.003937,0.000010
1300,OST,1299,0.003517,0.000010
1300,BST,1299,0.003923,0.000011
1300,OST,1299,0.004510,0.000011
1300,BST,1299,0.003066,0.000010
1300,OST,1299,0.003364,0.000010
1300,BST,1299,0.003907,0.000010
1300,OST,1299,0.004211,0.000010
1300,BST,1299,0.003864,0.000011
1300,OST,1299,0.004496,0.000050
1300,BST,1299,0.003285,0.000011
1300,OST,1299,0.003368,0.000011
1300,BST,1299,0.003835,0.000011
1300,OST,1299,0.004293,0.000011
1400,BST,1399,0.004526,0.000033
1400,OST,1399,0.003972,0.000011
1400,BST,1399,0.004521,0.000011
1400,OST,1399,0.003981,0.000011
1400,BST,1399,0.004590,0.000011
1400,OST,1399,0.005125,0.000011
1400,BST,1399,0.004576,0.000011
1400,OST,1399,0.004254,0.000011
1400,BST,1399,0.004398,0.000011
1400,OST,1399,0.003930,0.000011
1400,BST,1399,0.004599,0.000012
1400,OST,1399,0.005146,0.000011
1400,BST,1399,0.003547,0.000011
1400,OST,1399,0.003746,0.000011
1400,BST,1399,0.004458,0.000011
1400,OST,1399,0.003892,0.000011
1400,BST,1399,0.004361,0.000011
1400,OST,1399,0.003731,0.000011
1400,BST,1399,0.003797,0.000011
1400,OST,1399,0.003778,0.000011
1500,BST,1499,0.005248,0.000012
1500,OST,1499,0.004507,0.000012
1500,BST,1499,0.005388,0.000012
1500,OST,1499,0.005565,0.000011
1500,BST,1499,0.005251,0.000021
1500,OST,1499,0.005460,0.000012
1500,BST,1499,0.004042,0.000011
1500,OST,1499,0.004548,0.000011
1500,BST,1499,0.005433,0.000012
1500,OST,1499,0.004496,0.000012
1500,BST,1499,0.005363,0.000011
1500,OST,1499,0.005757,0.000012
1500,BST,1499,0.004200,0.000012
1500,OST,1499,0.004397,0.000012
1500,BST,1499,0.004109,0.000012
1500,OST,1499,0.004313,0.000011
1500,BST,1499,0.005279,0.000012
1500,OST,1499,0.005059,0.000012
1500,BST,1499,0.005192,0.000012
1500,OST,1499,0.004817,0.000012
1600,BST,1599,0.005146,0.000022
1600,OST,1599,0.005082,0.000012
1600,BST,1599,0.004939,0.000012
1600,OST,1599,0.004949,0.000013
1600,BST,1599,0.005895,0.000012
1600,OST,1599,0.005173,0.000012
1600,BST,1599,0.006139,0.000013
1600,OST,1599,0.005818,0.000012
1600,BST,1599,0.005136,0.000013
1600,OST,1599,0.005073,0.000013
1600,BST,1599,0.004596,0.000025
1600,OST,1599,0.005006,0.000013
1600,BST,1599,0.004906,0.000013
1600,OST,1599,0.005115,0.000013
1600,BST,1599,0.005836,0.000012
1600,OST,1599,0.005249,0.000012
1600,BST,1599,0.005311,0.000012
1600,OST,1599,0.005122,0.000013
1600,BST,1599,0.004864,0.000012
1600,OST,1599,0.005235,0.000012
1700,BST,1699,0.007064,0.000014
1700,OST,1699,0.007933,0.000014
1700,BST,1699,0.006899,0.000014
1700,OST,1699,0.007558,0.000013
1700,BST,1699,0.006468,0.000014
1700,OST,1699,0.005656,0.000013
1700,BST,1699,0.005213,0.000013
1700,OST,1699,0.005965,0.000013
1700,BST,1699,0.005222,0.000013
1700,OST,1699,0.005906,0.000014
1700,BST,1699,0.005730,0.000013
1700,OST,1699,0.005566,0.000013
1700,BST,1699,0.006175,0.000013
1700,OST,1699,0.005831,0.000013
1700,BST,1699,0.006707,0.000013
1700,OST,1699,0.005684,0.000013
1700,BST,1699,0.005320,0.000026
1700,OST,1699,0.006110,0.000036
1700,BST,1699,0.006822,0.000013
1700,OST,1699,0.006462,0.000013
1800,BST,1799,0.006388,0.000014
1800,OST,1799,0.006959,0.000014
1800,BST,1799,0.007328,0.000013
1800,OST,1799,0.006275,0.000014
1800,BST,1799,0.006053,0.000013
1800,OST,1799,0.006888,0.000014
1800,BST,1799,0.007208,0.000014
1800,OST,1799,0.006724,0.000014
1800,BST,1799,0.007795,0.000014
1800,OST,1799,0.006961,0.000013
1800,BST,1799,0.007803,0.000013
1800,OST,1799,0.006664,0.000013
1800,BST,1799,0.007942,0.000033
1800,OST,1799,0.006884,0.000014
1800,BST,1799,0.007503,0.000014
1800,OST,1799,0.006580,0.000014
1800,BST,1799,0.007462,0.000014
1800,OST,1799,0.006485,0.000014
1800,BST,1799,0.006050,0.000014
1800,OST,1799,0.006667,0.000015
1900,BST,1899,0.006719,0.000014
1900,OST,1899,0.007917,0.000015
1900,BST,1899,0.007584,0.000014
1900,OST,1899,0.007637,0.000015
1900,BST,1899,0.007841,0.000014
1900,OST,1899,0.007133,0.000015
1900,BST,1899,0.007286,0.000015
