n,tree_type,height,build_duration_seconds,destroy_duration_seconds
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000000,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000000,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000000,0.000001
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
0,BST,-1,0.000001,0.000001
0,OST,-1,0.000001,0.000000
100,BST,11,0.000006,0.000003
100,OST,11,0.000006,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000005,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000006,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000006,0.000002
100,BST,11,0.000006,0.000003
100,OST,11,0.000019,0.000003
100,BST,11,0.000006,0.000002
100,OST,11,0.000005,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000005,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000005,0.000003
100,BST,11,0.000005,0.000003
100,OST,11,0.000006,0.000003
100,BST,11,0.000006,0.000003
100,OST,11,0.000005,0.000002
200,BST,13,0.000012,0.000005
200,OST,13,0.000012,0.000005
200,BST,13,0.000012,0.000004
200,OST,13,0.000012,0.000005
200,BST,13,0.000012,0.000005
200,OST,13,0.000012,0.000004
200,BST,13,0.000011,0.000005
200,OST,13,0.000012,0.000004
200,BST,13,0.000011,0.000005
200,OST,13,0.000012,0.000005
200,BST,13,0.000012,0.000004
200,OST,13,0.000012,0.000004
200,BST,13,0.000012,0.000005
200,OST,13,0.000012,0.000004
200,BST,13,0.000012,0.000005
200,OST,13,0.000012,0.000004
200,BST,13,0.000012,0.000005
200,OST,13,0.000012,0.000005
200,BST,13,0.000025,0.000005
200,OST,13,0.000013,0.000005
300,BST,14,0.000019,0.000008
300,OST,14,0.000019,0.000008
300,BST,14,0.000019,0.000008
300,OST,14,0.000019,0.000007
300,BST,14,0.000019,0.000008
300,OST,14,0.000019,0.000007
300,BST,14,0.000019,0.000007
300,OST,14,0.000019,0.000008
300,BST,14,0.000018,0.000010
300,OST,14,0.000021,0.000025
300,BST,14,0.000018,0.000007
300,OST,14,0.000019,0.000008
300,BST,14,0.000018,0.000007
300,OST,14,0.000019,0.000008
300,BST,14,0.000018,0.000023
300,OST,14,0.000019,0.000021
300,BST,14,0.000018,0.000008
300,OST,14,0.000020,0.000008
300,BST,14,0.000019,0.000008
300,OST,14,0.000019,0.000008
400,BST,19,0.000026,0.000012
400,OST,19,0.000027,0.000011
400,BST,19,0.000026,0.000012
400,OST,19,0.000026,0.000012
400,BST,19,0.000025,0.000012
400,OST,19,0.000027,0.000012
400,BST,19,0.000026,0.000012
400,OST,19,0.000026,0.000011
400,BST,19,0.000025,0.000012
400,OST,19,0.000027,0.000012
400,BST,19,0.000026,0.000012
400,OST,19,0.000040,0.000012
400,BST,19,0.000026,0.000012
400,OST,19,0.000039,0.000011
400,BST,19,0.000025,0.000012
400,OST,19,0.000026,0.000012
400,BST,19,0.000025,0.000012
400,OST,19,0.000027,0.000012
400,BST,19,0.000025,0.000011
400,OST,19,0.000026,0.000012
500,BST,19,0.000033,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000033,0.000013
500,OST,19,0.000036,0.000014
500,BST,19,0.000034,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000034,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000033,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000034,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000033,0.000013
500,OST,19,0.000036,0.000014
500,BST,19,0.000033,0.000012
500,OST,19,0.000035,0.000012
500,BST,19,0.000033,0.000012
500,OST,19,0.000035,0.000013
500,BST,19,0.000033,0.000012
500,OST,19,0.000036,0.000013
600,BST,20,0.000040,0.000015
600,OST,20,0.000041,0.000016
600,BST,20,0.000040,0.000015
600,OST,20,0.000069,0.000016
600,BST,20,0.000052,0.000015
600,OST,20,0.000041,0.000016
600,BST,20,0.000039,0.000015
600,OST,20,0.000054,0.000016
600,BST,20,0.000074,0.000016
600,OST,20,0.000057,0.000016
600,BST,20,0.000040,0.000015
600,OST,20,0.000041,0.000016
600,BST,20,0.000039,0.000015
600,OST,20,0.000042,0.000016
600,BST,20,0.000039,0.000015
600,OST,20,0.000042,0.000016
600,BST,20,0.000040,0.000015
600,OST,20,0.000042,0.000016
600,BST,20,0.000040,0.000015
600,OST,20,0.000042,0.000025
700,BST,15,0.000047,0.000016
700,OST,15,0.000049,0.000016
700,BST,15,0.000046,0.000015
700,OST,15,0.000048,0.000016
700,BST,15,0.000089,0.000015
700,OST,15,0.000048,0.000016
700,BST,15,0.000046,0.000015
700,OST,15,0.000048,0.000028
700,BST,15,0.000046,0.000016
700,OST,15,0.000049,0.000016
700,BST,15,0.000058,0.000015
700,OST,15,0.000049,0.000015
700,BST,15,0.000046,0.000015
700,OST,15,0.000048,0.000016
700,BST,15,0.000046,0.000015
700,OST,15,0.000049,0.000016
700,BST,15,0.000047,0.000015
700,OST,15,0.000049,0.000017
700,BST,15,0.000060,0.000015
700,OST,15,0.000049,0.000016
800,BST,21,0.000054,0.000018
800,OST,21,0.000058,0.000020
800,BST,21,0.000055,0.000018
800,OST,21,0.000057,0.000020
800,BST,21,0.000055,0.000019
800,OST,21,0.000058,0.000020
800,BST,21,0.000054,0.000018
800,OST,21,0.000058,0.000019
800,BST,21,0.000055,0.000019
800,OST,21,0.000058,0.000020
800,BST,21,0.000053,0.000018
800,OST,21,0.000057,0.000020
800,BST,21,0.000054,0.000018
800,OST,21,0.000057,0.000019
800,BST,21,0.000054,0.000019
800,OST,21,0.000058,0.000020
800,BST,21,0.000054,0.000020
800,OST,21,0.000058,0.000021
800,BST,21,0.000055,0.000019
800,OST,21,0.000058,0.000020
900,BST,18,0.000063,0.000020
900,OST,18,0.000068,0.000021
900,BST,18,0.000063,0.000020
900,OST,18,0.000067,0.000021
900,BST,18,0.000062,0.000020
900,OST,18,0.000066,0.000021
900,BST,18,0.000062,0.000020
900,OST,18,0.000066,0.000021
900,BST,18,0.000092,0.000020
900,OST,18,0.000081,0.000021
900,BST,18,0.000062,0.000020
900,OST,18,0.000067,0.000021
900,BST,18,0.000062,0.000019
900,OST,18,0.000066,0.000022
900,BST,18,0.000061,0.000019
900,OST,18,0.000066,0.000020
900,BST,18,0.000061,0.000020
900,OST,18,0.000065,0.000021
900,BST,18,0.000061,0.000020
900,OST,18,0.000065,0.000021
1000,BST,22,0.000144,0.000025
1000,OST,22,0.000092,0.000027
1000,BST,22,0.000073,0.000027
1000,OST,22,0.000078,0.000054
1000,BST,22,0.000086,0.000025
1000,OST,22,0.000078,0.000027
1000,BST,22,0.000073,0.000025
1000,OST,22,0.000077,0.000027
1000,BST,22,0.000073,0.000025
1000,OST,22,0.000077,0.000026
1000,BST,22,0.000072,0.000025
1000,OST,22,0.000078,0.000027
1000,BST,22,0.000074,0.000025
1000,OST,22,0.000078,0.000027
1000,BST,22,0.000083,0.000025
1000,OST,22,0.000078,0.000027
1000,BST,22,0.000073,0.000025
1000,OST,22,0.000077,0.000027
1000,BST,22,0.000073,0.000024
1000,OST,22,0.000077,0.000026
1100,BST,18,0.000080,0.000025
1100,OST,18,0.000086,0.000044
1100,BST,18,0.000081,0.000027
1100,OST,18,0.000086,0.000029
1100,BST,18,0.000080,0.000026
1100,OST,18,0.000085,0.000028
1100,BST,18,0.000092,0.000026
1100,OST,18,0.000087,0.000029
1100,BST,18,0.000081,0.000027
1100,OST,18,0.000086,0.000029
1100,BST,18,0.000080,0.000027
1100,OST,18,0.000086,0.000028
1100,BST,18,0.000138,0.000027
1100,OST,18,0.000101,0.000039
1100,BST,18,0.000080,0.000027
1100,OST,18,0.000085,0.000029
1100,BST,18,0.000092,0.000025
1100,OST,18,0.000085,0.000028
1100,BST,18,0.000092,0.000026
1100,OST,18,0.000083,0.000028
1200,BST,20,0.000092,0.000046
1200,OST,20,0.000099,0.000034
1200,BST,20,0.000091,0.000031
1200,OST,20,0.000098,0.000077
1200,BST,20,0.000091,0.000032
1200,OST,20,0.000098,0.000033
1200,BST,20,0.000089,0.000031
1200,OST,20,0.000096,0.000033
1200,BST,20,0.000091,0.000031
1200,OST,20,0.000098,0.000033
1200,BST,20,0.000092,0.000031
1200,OST,20,0.000098,0.000033
1200,BST,20,0.000093,0.000032
1200,OST,20,0.000098,0.000033
1200,BST,20,0.000092,0.000032
1200,OST,20,0.000099,0.000033
1200,BST,20,0.000089,0.000031
1200,OST,20,0.000096,0.000033
1200,BST,20,0.000089,0.000031
1200,OST,20,0.000098,0.000033
1300,BST,23,0.000099,0.000063
1300,OST,23,0.000133,0.000049
1300,BST,23,0.000097,0.000034
1300,OST,23,0.000106,0.000035
1300,BST,23,0.000098,0.000034
1300,OST,23,0.000105,0.000036
1300,BST,23,0.000098,0.000032
1300,OST,23,0.000105,0.000035
1300,BST,23,0.000111,0.000033
1300,OST,23,0.000108,0.000034
1300,BST,23,0.000099,0.000033
1300,OST,23,0.000107,0.000036
1300,BST,23,0.000096,0.000033
1300,OST,23,0.000104,0.000034
1300,BST,23,0.000095,0.000032
1300,OST,23,0.000102,0.000034
1300,BST,23,0.000125,0.000034
1300,OST,23,0.000105,0.000036
1300,BST,23,0.000139,0.000047
1300,OST,23,0.000121,0.000036
1400,BST,22,0.000109,0.000058
1400,OST,22,0.000249,0.000044
1400,BST,22,0.000107,0.000030
1400,OST,22,0.000114,0.000031
1400,BST,22,0.000105,0.000029
1400,OST,22,0.000127,0.000031
1400,BST,22,0.000105,0.000030
1400,OST,22,0.000116,0.000031
1400,BST,22,0.000104,0.000029
1400,OST,22,0.000113,0.000031
1400,BST,22,0.000106,0.000029
1400,OST,22,0.000113,0.000030
1400,BST,22,0.000106,0.000029
1400,OST,22,0.000113,0.000031
1400,BST,22,0.000105,0.000028
1400,OST,22,0.000114,0.000031
1400,BST,22,0.000106,0.000030
1400,OST,22,0.000112,0.000031
1400,BST,22,0.000106,0.000030
1400,OST,22,0.000113,0.000031
1500,BST,24,0.000125,0.000042
1500,OST,24,0.000227,0.000057
1500,BST,24,0.000124,0.000041
1500,OST,24,0.000149,0.000043
1500,BST,24,0.000124,0.000040
1500,OST,24,0.000136,0.000041
1500,BST,24,0.000123,0.000040
1500,OST,24,0.000150,0.000042
1500,BST,24,0.000120,0.000039
1500,OST,24,0.000132,0.000041
1500,BST,24,0.000123,0.000039
1500,OST,24,0.000135,0.000042
1500,BST,24,0.000121,0.000039
1500,OST,24,0.000130,0.000041
1500,BST,24,0.000123,0.000040
1500,OST,24,0.000134,0.000042
1500,BST,24,0.000140,0.000083
1500,OST,24,0.000213,0.000043
1500,BST,24,0.000123,0.000040
1500,OST,24,0.000134,0.000042
1600,BST,22,0.000151,0.000045
1600,OST,22,0.000177,0.000034
1600,BST,22,0.000120,0.000033
1600,OST,22,0.000131,0.000034
1600,BST,22,0.000121,0.000056
1600,OST,22,0.000131,0.000050
1600,BST,22,0.000119,0.000046
1600,OST,22,0.000157,0.000034
